,BINOMIAL:,CITATION:,FAMILY:,GENUS:,COMMON:,TSN:,IUCN_ID:,ORDER:,IUCN_STATUS:,CLASS:
melanerpes erythrocephalus,Melanerpes erythrocephalus,"Linnaeus, 1758",PICIDAE,Melanerpes,Red-headed Woodpecker,178186,22680810,PICIFORMES,NT,AVES
melopsittacus undulatus,Melopsittacus undulatus,Birdlife International 2011,PSITTACIDAE,Melopsittacus,Budgerigar,177597,22685223,PSITTACIFORMES,LC,AVES
mitu mitu,Mitu mitu,Birdlife International 2011,CRACIDAE,Mitu,Alagoas Curassow,553817,22678486,GALLIFORMES,EW,AVES
mitu salvini,Mitu salvini,Birdlife International 2011,CRACIDAE,Mitu,Salvin's Curassow,553815,22678472,GALLIFORMES,LC,AVES
mitu tomentosum,Mitu tomentosum,Birdlife International 2011,CRACIDAE,Mitu,Crestless Curassow,715222,22678464,GALLIFORMES,NT,AVES
mitu tuberosum,Mitu tuberosum,Birdlife International 2011,CRACIDAE,Mitu,Razor-billed Curassow,715223,22678478,GALLIFORMES,LC,AVES
nothocrax urumutum,Nothocrax urumutum,Birdlife International 2011,CRACIDAE,Nothocrax,Nocturnal Curassow,175755,22678461,GALLIFORMES,LC,AVES
numenius americanus,Numenius americanus,"Bechstein, 1812",SCOLOPACIDAE,NUMENIUS,Long-billed Curlew,176593,9990007,CHARADRIIFORMES,LC,AVES
oreophasis derbianus,Oreophasis derbianus,Birdlife International 2011,CRACIDAE,Oreophasis,Horned Guan,175753,22678453,GALLIFORMES,EN,AVES
ortalis canicollis,Ortalis canicollis,Birdlife International 2011,CRACIDAE,Ortalis,Chaco Chachalaca,175719,22678328,GALLIFORMES,LC,AVES
ortalis cinereiceps,Ortalis cinereiceps,Birdlife International 2011,CRACIDAE,Ortalis,Grey-headed Chachalaca,553805,22678308,GALLIFORMES,LC,AVES
ortalis erythroptera,Ortalis erythroptera,Birdlife International 2011,CRACIDAE,Ortalis,Rufous-headed Chachalaca,175721,22678318,GALLIFORMES,VU,AVES
ortalis garrula,Ortalis garrula,Birdlife International 2011,CRACIDAE,Ortalis,Chestnut-winged Chachalaca,175722,22678312,GALLIFORMES,LC,AVES
ortalis leucogastra,Ortalis leucogastra,Birdlife International 2011,CRACIDAE,Ortalis,White-bellied Chachalaca,553807,22678331,GALLIFORMES,LC,AVES
ortalis motmot,Ortalis motmot,Birdlife International 2011,CRACIDAE,Ortalis,Little Chachalaca,175724,22678342,GALLIFORMES,LC,AVES
ortalis poliocephala,Ortalis poliocephala,Birdlife International 2011,CRACIDAE,Ortalis,West Mexican Chachalaca,175726,22678325,GALLIFORMES,LC,AVES
ortalis ruficauda,Ortalis ruficauda,Birdlife International 2011,CRACIDAE,Ortalis,Rufous-vented Chachalaca,175725,22678315,GALLIFORMES,LC,AVES
ortalis superciliaris,Ortalis superciliaris,Birdlife International 2011,CRACIDAE,Ortalis,Buff-browed Chachalaca,553809,22678348,GALLIFORMES,LC,AVES
