,BINOMIAL,CITATION,CLASS,ORDER,FAMILY,GENUS,TSN,IUCN_ID,COMMON,IUCN_STATUS,lowerbinomial
1202,Callibella humilis,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CALLITRICHIDAE,Callibella,944124,41584,Black-crowned Dwarf Marmoset,VU,callibella humilis
1253,Ictonyx libycus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Ictonyx,726287,41645,Libyan Striped Weasel,LC,ictonyx libycus
1386,Aonyx cinerea,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,MUSTELIDAE,Aonyx,726276,44166,Asian Small-clawed Otter,VU,aonyx cinerea
1511,Cercopithecus denti,IUCN (International Union for Conservation of Nature),MAMMALIA,PRIMATES,CERCOPITHECIDAE,Cercopithecus,944224,136885,Dent's Monkey,LC,cercopithecus denti
1526,Cervus canadensis,IUCN (International Union for Conservation of Nature),MAMMALIA,CETARTIODACTYLA,CERVIDAE,Cervus,898259,55997823,Wapiti,LC,cervus canadensis
1807,Turdus rubrocanus,Birdlife International 2011,AVES,PASSERIFORMES,TURDIDAE,Turdus,563609,22708783,Chestnut Thrush,LC,turdus rubrocanus
1808,Phoenicurus schisticeps,Birdlife International 2011,AVES,PASSERIFORMES,MUSCICAPIDAE,Phoenicurus,562038,22710063,White-throated Redstart,LC,phoenicurus schisticeps
